local_ID,TR,Season,STOR_ID,Contracted_MW,BM_NBM,C_F_PF,Response_Time,Availability_Price,Utilisation_Price,Accepted,Location,All_or_Nothing,indexation
1,TR31,11.1,676,12,NBM,F,18,0,55.2,TRUE,North,FALSE,FALSE
2,TR31,11.1,677,10,NBM,F,18,0,55.3,TRUE,North,FALSE,FALSE
3,TR31,11.1,678,10,NBM,F,15,0,55.5,TRUE,North,FALSE,FALSE
4,TR31,11.1,679,12,NBM,F,15,0,55.6,TRUE,North,FALSE,FALSE
5,TR31,11.1,680,11,NBM,F,15,0,55.7,TRUE,South,FALSE,FALSE
6,TR31,11.1,681,9,NBM,F,9,0,55.8,TRUE,North,FALSE,FALSE
7,TR31,11.1,585,29,BM,C,20,2,160,FALSE,South,FALSE,FALSE
8,TR31,11.1,716,6,NBM,C,8,1.25,86.9,FALSE,North,FALSE,FALSE
9,TR31,11.1,562,6,NBM,F,20,0.99,89,FALSE,South,FALSE,FALSE
10,TR31,11.1,329,99,BM,C,18,1,165,FALSE,North,TRUE,FALSE
11,TR31,11.1,506,3,NBM,F,18,2,160,FALSE,South,FALSE,FALSE
12,TR31,11.1,737,4,NBM,F,9,0,58.1,TRUE,North,FALSE,FALSE
13,TR31,11.1,738,4,NBM,F,9,0,58.1,TRUE,North,FALSE,FALSE
14,TR31,11.1,739,4,NBM,F,9,0,58.1,TRUE,North,FALSE,FALSE
15,TR31,11.1,740,4,NBM,F,9,0,58.1,TRUE,North,FALSE,FALSE
16,TR31,11.1,741,4,NBM,F,9,0,58.1,TRUE,North,FALSE,FALSE
17,TR31,11.1,640,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
18,TR31,11.1,641,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
19,TR31,11.1,642,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
20,TR31,11.1,643,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
21,TR31,11.1,108,45,NBM,C,20,6,120,FALSE,South,TRUE,FALSE
22,TR31,11.1,109,8,NBM,C,12,6,120,FALSE,South,FALSE,FALSE
23,TR31,11.1,742,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
24,TR31,11.1,743,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
25,TR31,11.1,744,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
26,TR31,11.1,745,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
27,TR31,11.1,112,50,BM,C,6,1.75,225,FALSE,South,FALSE,FALSE
28,TR31,11.1,113,50,BM,C,6,1.75,225,FALSE,South,FALSE,FALSE
29,TR31,11.1,746,4,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
30,TR31,11.1,747,4,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
31,TR31,11.1,748,6,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
32,TR31,11.1,636,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
33,TR31,11.1,637,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
34,TR31,11.1,638,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
35,TR31,11.1,639,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
36,TR31,11.1,468,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
37,TR31,11.1,522,6,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
38,TR31,11.1,115,25,BM,C,5,8.95,225,FALSE,South,TRUE,FALSE
39,TR31,11.1,116,25,BM,C,5,8.95,225,FALSE,South,TRUE,FALSE
40,TR31,11.1,117,25,BM,C,5,8.95,225,FALSE,South,TRUE,FALSE
41,TR31,11.1,118,25,BM,C,5,8.95,225,FALSE,South,TRUE,FALSE
42,TR31,11.1,312,8,NBM,F,19,2.75,135,FALSE,North,FALSE,FALSE
43,TR31,11.1,125,32,BM,C,10,1.65,170,FALSE,North,FALSE,FALSE
44,TR31,11.1,126,32,BM,C,10,1.65,170,FALSE,North,FALSE,FALSE
45,TR31,11.1,127,32,BM,C,10,1.65,170,FALSE,North,FALSE,FALSE
46,TR31,11.1,750,5,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
47,TR31,11.1,749,7,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
48,TR31,11.1,565,7,NBM,PF,12,1.2,67.91,TRUE,Multiple,FALSE,FALSE
49,TR31,11.1,568,4,NBM,PF,12,1.45,66.9,TRUE,Multiple,FALSE,FALSE
50,TR31,11.1,569,5,NBM,PF,12,0.95,68.96,TRUE,Multiple,FALSE,FALSE
51,TR31,11.1,9,25,BM,C,10,3.95,184,FALSE,South,TRUE,FALSE
52,TR31,11.1,10,25,BM,C,10,3.95,184,FALSE,South,TRUE,FALSE
53,TR31,11.1,618,21,NBM,C,7,1.1,110,FALSE,South,FALSE,FALSE
54,TR31,11.1,648,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
55,TR31,11.1,649,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
56,TR31,11.1,650,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
57,TR31,11.1,651,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
58,TR31,11.1,354,3,NBM,PF,12,0.7,69.95,TRUE,Multiple,FALSE,FALSE
59,TR31,11.1,342,3,NBM,C,8,1.2,123.89,FALSE,Multiple,FALSE,FALSE
60,TR31,11.1,551,7,NBM,C,15,1.5,150,FALSE,Multiple,FALSE,FALSE
61,TR31,11.1,619,12,NBM,C,15,1,160,FALSE,Multiple,FALSE,FALSE
62,TR31,11.1,620,5,NBM,C,15,1.25,160,FALSE,Multiple,FALSE,FALSE
63,TR31,11.1,621,6,NBM,C,20,1.25,150,FALSE,Multiple,FALSE,FALSE
64,TR31,11.1,632,3,NBM,F,15,0,30,TRUE,Multiple,FALSE,FALSE
65,TR31,11.1,633,4,NBM,PF,15,0,30,TRUE,Multiple,FALSE,FALSE
66,TR31,11.1,644,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
67,TR31,11.1,645,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
68,TR31,11.1,646,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
69,TR31,11.1,647,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
70,TR31,11.1,31,14,NBM,PF,10,0.5,90,TRUE,North,FALSE,FALSE
71,TR31,11.1,32,14,NBM,PF,10,0.5,90,TRUE,North,FALSE,FALSE
72,TR31,11.1,74,3,NBM,PF,12,1.7,65.95,FALSE,North,FALSE,FALSE
73,TR31,11.1,362,10,NBM,F,7,0,57.89,TRUE,North,FALSE,FALSE
74,TR31,11.1,232,10,NBM,C,14,9.45,57.89,TRUE,South,TRUE,FALSE
75,TR31,11.1,424,6,NBM,PF,12,0.95,68.96,TRUE,North,FALSE,FALSE
76,TR31,11.1,339,5,NBM,C,8,1.14,127.96,FALSE,Multiple,FALSE,FALSE
77,TR31,11.1,340,6,NBM,C,8,1.17,125.88,FALSE,Multiple,FALSE,FALSE
78,TR31,11.1,762,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
79,TR31,11.1,763,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
80,TR31,11.1,764,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
81,TR31,11.1,765,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
82,TR31,11.1,712,3,NBM,C,8,1.49,129,FALSE,Multiple,FALSE,FALSE
83,TR31,11.1,732,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
84,TR31,11.1,733,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
85,TR31,11.1,734,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
86,TR31,11.1,735,4,NBM,F,9,0,58.2,TRUE,South,FALSE,FALSE
87,TR31,11.1,684,6,NBM,C,1,2.49,75,FALSE,North,FALSE,FALSE
88,TR31,11.1,432,20,NBM,F,7,0,57.89,TRUE,South,FALSE,FALSE
89,TR31,11.1,657,20,NBM,F,7,0,57.89,TRUE,South,FALSE,FALSE
90,TR31,11.1,736,5,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
91,TR31,11.1,718,3,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
92,TR31,11.1,724,7,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
93,TR31,11.1,725,8,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
94,TR31,11.1,46,15,BM,C,10,5.95,209,FALSE,North,TRUE,FALSE
95,TR31,11.1,47,15,BM,C,10,5.95,209,FALSE,North,TRUE,FALSE
96,TR31,11.1,726,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
97,TR31,11.1,727,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
98,TR31,11.1,728,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
99,TR31,11.1,729,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
100,TR31,11.1,311,8,NBM,C,7,0.5,59.98,TRUE,North,FALSE,FALSE
101,TR31,11.1,476,16,NBM,C,7,0.5,59.98,TRUE,North,FALSE,FALSE
102,TR31,11.1,730,8,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
103,TR31,11.1,731,6,NBM,F,15,0,65,TRUE,North,FALSE,FALSE
104,TR31,11.1,59,60,BM,C,10,2.95,199,FALSE,South,TRUE,FALSE
105,TR31,11.1,60,39,BM,C,10,2.95,199,FALSE,South,TRUE,FALSE
106,TR31,11.1,652,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
107,TR31,11.1,653,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
108,TR31,11.1,654,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
109,TR31,11.1,655,4,NBM,F,9,0,58.1,TRUE,South,FALSE,FALSE
110,TR31,11.1,235,5,NBM,F,7,0,57.89,TRUE,Multiple,FALSE,FALSE
111,TR31,11.1,238,10,NBM,F,7,0,57.89,TRUE,Multiple,FALSE,FALSE
112,TR31,11.1,239,10,NBM,F,14,0,57.89,TRUE,Multiple,FALSE,FALSE
113,TR31,11.1,231,10,NBM,F,19,0,57.89,TRUE,South,FALSE,FALSE
114,TR31,11.1,431,10,NBM,F,7,0,57.89,TRUE,South,FALSE,FALSE
115,TR31,11.1,659,20,NBM,F,7,0,56.35,TRUE,South,FALSE,FALSE
116,TR31,11.1,660,18,NBM,F,7,0,56.35,TRUE,South,FALSE,FALSE
117,TR31,11.1,662,24,NBM,F,7,0,54.48,TRUE,South,FALSE,FALSE
118,TR31,11.1,663,24,NBM,F,7,0,54.48,TRUE,South,FALSE,FALSE
119,TR31,11.1,664,20,NBM,F,7,0,54.48,TRUE,South,FALSE,FALSE
120,TR31,11.1,665,20,NBM,F,7,0,52.79,TRUE,South,FALSE,FALSE
121,TR31,11.1,666,20,NBM,F,7,0,52.79,TRUE,South,FALSE,FALSE
122,TR31,11.1,672,10,NBM,F,7,0,63.95,TRUE,South,FALSE,FALSE
123,TR31,11.1,757,3,NBM,F,11,3,90,FALSE,South,FALSE,FALSE
124,TR31,11.1,478,9,NBM,C,4,5,175,FALSE,South,FALSE,FALSE
125,TR31,11.1,720,4,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
126,TR31,11.1,721,4,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
127,TR31,11.1,722,4,NBM,F,9,0,58.2,TRUE,North,FALSE,FALSE
